#TYPE NuGet.PackageManagement.PowerShellCmdlets.PowerShellInstalledPackage
"ProjectName","Id","Versions","AsyncLazyVersions","Version","AllVersions","LicenseUrl"
"WordbookImpressLibrary","Newtonsoft.Json","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","11.0.2","False","https://raw.github.com/JamesNK/Newtonsoft.Json/master/LICENSE.md"
"WordbookImpressLibrary","Nager.AmazonProductAdvertising","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.2.1","False","https://github.com/tinohager/Nager.AmazonProductAdvertising/blob/master/Licence.txt"
"WordbookImpressLibrary","CsvHelper","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","7.1.1","False","https://raw.githubusercontent.com/JoshClose/CsvHelper/master/LICENSE.txt"
"WordbookImpressLibrary","DocumentFormat.OpenXml","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.8.1","False","https://github.com/OfficeDev/Open-XML-SDK/blob/master/LICENSE"
"WordbookImpressLibrary","NETStandard.Library","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.0.3","False","https://github.com/dotnet/standard/blob/master/LICENSE.TXT"
"TestConsole","Newtonsoft.Json","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","11.0.2","False","https://raw.github.com/JamesNK/Newtonsoft.Json/master/LICENSE.md"
"TestConsole","Nager.AmazonProductAdvertising","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.2.1","False","https://github.com/tinohager/Nager.AmazonProductAdvertising/blob/master/Licence.txt"
"TestConsole","CsvHelper","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","7.1.1","False","https://raw.githubusercontent.com/JoshClose/CsvHelper/master/LICENSE.txt"
"TestConsole","Microsoft.NETCore.App","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.0.0","False",
"ToolsConsole","Nager.AmazonProductAdvertising","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.2.1","False","https://github.com/tinohager/Nager.AmazonProductAdvertising/blob/master/Licence.txt"
"ToolsConsole","Nager.ArticleNumber","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.0.4","False","https://github.com/tinohager/Nager.ArticleNumber/blob/master/Licence.txt"
"WordbookImpressApp","Nager.AmazonProductAdvertising","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.2.1","False","https://github.com/tinohager/Nager.AmazonProductAdvertising/blob/master/Licence.txt"
"WordbookImpressApp","Octokit","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","0.31.0","False",
"WordbookImpressApp","SharpCifs.Std","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","0.2.12","False","https://github.com/ume05rw/SharpCifs.Std/blob/master/LICENSE"
"WordbookImpressApp","ZXing.Net.Mobile.Forms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.4.1","False","http://raw.github.com/Redth/ZXing.Net.Mobile/master/License.md"
"WordbookImpressApp","SkiaSharp.Views.Forms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.60.2","False","https://go.microsoft.com/fwlink/?linkid=868514"
"WordbookImpressApp","DocumentFormat.OpenXml","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.8.1","False","https://github.com/OfficeDev/Open-XML-SDK/blob/master/LICENSE"
"WordbookImpressApp","NETStandard.Library","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.0.3","False","https://github.com/dotnet/standard/blob/master/LICENSE.TXT"
"WordbookImpressApp","Xamarin.Forms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","3.1.0.637273","False","http://aka.ms/xamarin-forms-license"
"WordbookImpressApp","CoreTweet","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","0.9.0.415","False","http://opensource.org/licenses/mit-license.php"
"WordbookImpressApp.UWP","SkiaSharp.Views.Forms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.60.2","False","https://go.microsoft.com/fwlink/?linkid=868514"
"WordbookImpressApp.UWP","Xamarin.Forms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","3.1.0.637273","False","http://aka.ms/xamarin-forms-license"
"WordbookImpressApp.UWP","Microsoft.NETCore.UniversalWindowsPlatform","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","6.1.5","False",
"WordbookImpressApp.iOS","SkiaSharp.Views.Forms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.60.2","False","https://go.microsoft.com/fwlink/?linkid=868514"
"WordbookImpressApp.iOS","Xamarin.Forms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","3.1.0.637273","False","http://aka.ms/xamarin-forms-license"
"WordbookImpressApp.Android","SkiaSharp.Views.Forms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.60.2","False","https://go.microsoft.com/fwlink/?linkid=868514"
"WordbookImpressApp.Android","Xamarin.Forms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","3.1.0.637273","False","http://aka.ms/xamarin-forms-license"
"WordbookImpressApp.Android","Xamarin.Android.Support.Design","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","27.0.2.1","False","https://go.microsoft.com/fwlink/?linkid=865381"
"WordbookImpressApp.Android","Xamarin.Android.Support.v7.AppCompat","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","27.0.2.1","False","https://go.microsoft.com/fwlink/?linkid=865381"
"WordbookImpressApp.Android","Xamarin.Android.Support.v4","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","27.0.2.1","False","https://go.microsoft.com/fwlink/?linkid=865381"
"WordbookImpressApp.Android","Xamarin.Android.Support.v7.CardView","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","27.0.2.1","False","https://go.microsoft.com/fwlink/?linkid=865381"
"WordbookImpressApp.Android","Xamarin.Android.Support.v7.MediaRouter","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","27.0.2.1","False","https://go.microsoft.com/fwlink/?linkid=865381"
"WordbookImpressApp.Android","ZXing.Net.Mobile","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.4.1","False","http://raw.github.com/Redth/ZXing.Net.Mobile/master/License.md"
