#TYPE NuGet.PackageManagement.PowerShellCmdlets.PowerShellInstalledPackage
"ProjectName","Id","Versions","AsyncLazyVersions","Version","AllVersions","LicenseUrl"
"WordbookImpressLibrary","Newtonsoft.Json","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","13.0.1","False","https://licenses.nuget.org/MIT"
"WordbookImpressLibrary","NETStandard.Library","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.0.3","False","https://github.com/dotnet/standard/blob/master/LICENSE.TXT"
"WordbookImpressLibrary","Nager.AmazonProductAdvertising","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.2.5","False","https://licenses.nuget.org/MIT"
"WordbookImpressLibrary","CsvHelper","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","7.1.1","False","https://raw.githubusercontent.com/JoshClose/CsvHelper/master/LICENSE.txt"
"WordbookImpressLibrary","DocumentFormat.OpenXml","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.13.1","False","https://licenses.nuget.org/MIT"
"TestConsole","Newtonsoft.Json","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","13.0.1","False","https://licenses.nuget.org/MIT"
"TestConsole","Nager.AmazonProductAdvertising","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.2.5","False","https://licenses.nuget.org/MIT"
"TestConsole","CsvHelper","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","7.1.1","False","https://raw.githubusercontent.com/JoshClose/CsvHelper/master/LICENSE.txt"
"TestConsole","Microsoft.NETCore.App","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.0.0","False","https://github.com/dotnet/core-setup/blob/master/LICENSE.TXT"
"ToolsConsole","AWSSDK.Core","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","3.3.101.18","False","http://aws.amazon.com/apache2.0/"
"ToolsConsole","AwsSignatureVersion4","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.4.1","False","https://licenses.nuget.org/Apache-2.0"
"ToolsConsole","Microsoft.AspNetCore.WebUtilities","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.2.0","False","https://raw.githubusercontent.com/aspnet/AspNetCore/2.0.0/LICENSE.txt"
"ToolsConsole","Microsoft.Extensions.Primitives","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","5.0.1","False","https://licenses.nuget.org/MIT"
"ToolsConsole","Microsoft.Net.Http.Headers","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","2.2.8","False","https://raw.githubusercontent.com/aspnet/AspNetCore/2.0.0/LICENSE.txt"
"ToolsConsole","Nager.AmazonProductAdvertising","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.2.5","False","https://licenses.nuget.org/MIT"
"ToolsConsole","Nager.ArticleNumber","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","1.0.6","False","https://licenses.nuget.org/MIT"
"ToolsConsole","Newtonsoft.Json","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","13.0.1","False","https://licenses.nuget.org/MIT"
"ToolsConsole","System.Buffers","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","4.5.1","False","https://github.com/dotnet/corefx/blob/master/LICENSE.TXT"
"ToolsConsole","System.Memory","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","4.5.4","False","https://github.com/dotnet/corefx/blob/master/LICENSE.TXT"
"ToolsConsole","System.Net.Http","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","4.3.4","False","http://go.microsoft.com/fwlink/?LinkId=329770"
"ToolsConsole","System.Numerics.Vectors","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","4.5.0","False","https://github.com/dotnet/corefx/blob/master/LICENSE.TXT"
"ToolsConsole","System.Runtime.CompilerServices.Unsafe","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","5.0.0","False","https://licenses.nuget.org/MIT"
"ToolsConsole","System.Security.Cryptography.Algorithms","System.Linq.Enumerable+<TakeIterator>d__25`1[NuGet.Versioning.NuGetVersion]","NuGet.Versioning.NuGetVersion[]","4.3.1","False","http://go.microsoft.com/fwlink/?LinkId=329770"
